SITADEL
"SITADEL recense l'ensemble des opérations de construction à usage d'habitation (logement) et à usage non résidentiel (locaux) soumises à la procédure d'instruction du permis de construire. Il a pour objectif de mesurer la construction afin de répondre aux besoins variés d'études, de prévision et d'orientation. Il permet de localiser finement l'implantation des logements neufs et des locaux d'activité. Il sert à estimer précisément l'offre de logements par type d'habitat et à prévoir son évolution. Il sert également à mesurer et prévoir l'activité du secteur de la construction et à orienter les politiques publiques menées par les ministères chargés de l'urbanisme et du logement. 

Les données de SITADEL sont alimentées par l'ensemble des informations recueillies dans les mairies concernant les actes d'urbanisme. Il s'agit principalement des informations du permis de construire mais également celles des déclarations de travaux, des permis de démolir et de lotir. Les données mises à disposition par le CASD sont à un niveau individuel (listes de permis). "




sitadel_hors_nom_19
"Données de SITADEL pour l'année 2019"

"Nom de la variable";Libellé;Modalités
PHR_ID_PERMIS;"Identifiant du permis";
TPE_COD_TYPPERMIS;"Type de permis (en clair)";
DEP_COD_DEP;"Code département";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
COM_COD_COM;"Code commune";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
PMI_ANNEE_DEP;"Année de dépôt";
PMI_NUM_PERMIS;"Numéro du permis";
REG_REGION;"Code région";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
PMI_NUMPER_CONCAT;"Numéro de permis concaténé";
CIN_COD_CENTRINSTR;"Code centre instructeur";
STA_COD_STATDOSS;"Statut du dossier";"1 - En cours";"2 - Autorisé";"3 - Refusé";"4 - Annulé";"5 - Commencé";"6 - Terminé";"7 - Sursis à statuer";"8 - Supprimé"
PMI_NUMDERN_MODIFICATIF;"Dernier indice modificatif reçu";
PMI_REC_ARCHI;"Recours à un architecte";"0 - Non";"1 - Oui"
PMI_CNIL;"Code CNIL autorisant la diffusion des informations nominatives";"0 - Accord";"1 - Interdiction"
PMI_DAT_PREMVERS;"Date du premier versement dans l’infocentre (attention aux permis migrés, la date correspond à la date de migration)";
PMI_DAT_MOD;"Date de réception dans la base de production du dernier mouvement reçu";
PMI_DAT_ATTACHDOS;"Date de réception dans la base de production du premier mouvement reçu";
PMI_VAL_FORCEE;"Indicateur « validation forcée »";"0 - Non";"1 - Oui"
PMI_SUPPRIME;"Indicateur « permis supprimé »";"0 - Non";"1 - Oui"
PMI_DAT_CREAT;"Date de création";
PMI_PC1SECT_CADAST;"Section cadastrale 1";
PMI_PC1NUM_CADAST;"Numéro cadastral 1";
PMI_PC2SECT_CADAST;"Section cadastrale 2";
PMI_PC2NUM_CADAST;"Numéro cadastral 2";
PMI_PC3SECT_CADAST;"Section cadastrale 3";
PMI_PC3NUM_CADAST;"Numéro cadastral 3";
PMI_NB_DOC;"Nombre de DOC reçus";
PMI_NB_DAACT;"Nombre de DAACT reçus";
PMI_TER_NUM_VOIE;"Numéro de voie du terrain";
PMI_TER_TYP_VOIE;"Type de voie du terrain";
PMI_TER_LIB_VOIE;"Libellé de la voie du terrain";
PMI_TER_LIEU_DIT;"Lieu-dit du terrain";
PMI_TER_LOCALITE;"Localité du terrain";
PMI_TER_COD_POST;"Code postal du terrain";
PMI_TER_BOIT_POST;"Boite postal du terrain";
PMI_TER_CEDEX;"Cedex de terrain";
PMI_DEM_TYP_MO;"Type de personne du pétitionnaire";"1 - Personne physique";"2 - Personne morale"
PMI_DEM_RAIS_SOC;"Raison sociale du demandeur";
PMI_DEM_NUM_SIRET;"Numéro SIRET du demandeur";
PMI_DEM_CAT_JUR;"Catégorie juridique du demandeur";
PMI_DEM_COD_APE;"Code APE du demandeur";
PMI_TIE_RAIS_SOC;"Raison sociale du tiers désigné";
PMI_ARC_CONSEIL_GEN;"Conseil général de l’architecte";
CAT_COD_CATMO_LOGT;"Catégorie de maître d’ouvrage Logement";"10 - Particuliers sans autre indication (SAI)";"11 - Particuliers purs";"12 - SCI de particuliers";"20 - Bailleurs sociaux SAI";"21 - Organismes HLM";"22 - EPL (ex SEM)";"23 - Autres organismes";"30 - Promoteurs (SAI)";"31 - Promoteurs reconnus comme tels";"32 - SCI ou autres supports de programmes de construction";"33 - Autres professionnels de la construction";"40 - Administrations publiques (SAI)";"41 - État, ODAC (Organismes Divers d'Administration Centrale) et organismes rattachés divers";"42 - Départements et régions";"43 - Communes, EPIC, syndicats de communes";"50 - Autres sociétés (de fait, intervenant pour compte propre)";"80 - Sans objet (car locaux purs)";"90 - Non déterminé (valeur par défaut à la création du permis)"
CAT_COD_CATMO_LOC;"Catégorie de maître d’ouvrage Locaux";"1 - Maîtrise d'ouvrage privée";"2 - Maître d'ouvrage publique";"8 - Sans objet (car absence de locaux)";"9 - Non déterminé (valeur par défaut à la création du permis)"
PMI_COD_ORIGINCATMO;"Origine de la catégorie de maître d’ouvrage";"SIR - Numéro SIREN";"INJ - Injection";"DEF - Définition";"DUR - Via recherche lexicale : résultat solide";"MOL - Via recherche lexicale : résultat moins solide"
TDO_COD_TYPDON;"Type de donnée";"B - Brute";"R - Rectifiée"
PHR_NUM_MODIF;"Indice modificatif";
AUT_COD_AUTORITE;"Code de l’autorité compétente";"1 - Au nom de la commune";"2 - Au nom de l'Etat";"3 - Au nom de l'EPCI"
PHR_DAT_LIMITINSTR;"Date limite de l’instruction (date de réception de l’en cours + 3 mois)";
NAD_COD_NATDEC;"Code « nature de décision »";"0 - En cours";"1 - Rejet tacite";"2 - Octroi tacite";"3 - Refus tacite";"4 - Octroi";"5 - Accord avec prescription";"6 - Refus";"7 - Sursis à statuer";"8 - Annulation"
MAN_COD_MOTANNUL;"Code « motif d’annulation »";"1 - A la demande du pétitionnaire";"2 - Annulation par une juridiction administrative"
